Id,Name,Affiliation
230864,Colin G. Harrison,IBM Zurich Research Laboratory
232789,Gianluigi Zanetti,
236621,Jun Xu,Microsoft
240334,Ariel Rubinstein,Tel Aviv University
240417,Anders Ryd,Cornell University
240584,Harold W. Thimbleby,Swansea University
242119,Christopher F. Baum,
242197,Ming C. Lin,University of North Carolina Chapel Hill
244799,Jacob Burbea,
251664,Shan Yi,University of California Berkeley
256863,R.-Q. Xu,
257670,Kenneth J. Arrow,Stanford University
257680,Paul Sajda,Columbia University
258650,Peter M. Robinson,London School of Economics and Political Science
258661,Daniel E. Resasco,
262230,Yi-Jun Sun,
265703,Steven P. Gygi,Harvard University
267928,Jeremy D. Peterson,
267991,Richard Hull,IBM Watson Research Center
269811,Donald G. Firesmith,Knowledge Systems Corporation
273669,Joseph R. Kiniry,IT University of Copenhagen
273844,Athman Bouguettaya,RMIT University
277337,Piers D. Nash,
278537,Peter R. Schreiner,Justus Liebig Universität Giessen
279064,Jean-Marie Lehn,Collège de France
280184,Ani R. Thakar,
284091,Ipke Wachsmuth,
290824,Anastasios N. Venetsanopoulos,University of Toronto
295277,Claire M. Fraser-Liggett,University of Maryland
296107,Krzysztof Matyjaszewski,
301847,Martti Juhola,
303262,Jeff Pan,University of Aberdeen
304601,Marc Guyomard,
305435,Mike Kuznetsov,Karlsruher Institute of Technology
308241,Thomas Phan,
309288,Jorg Petersen,
309308,Vito Mennella,University of California San Francisco
311428,Florin Cutzu,
318484,Patrick Durand,The french National Institute for Research in Computer science and Control
319114,Yusu Wang,Ohio State University
319633,Gian Maria Milesi-Ferretti,
322087,Patrick J. Conway,University of North Carolina Chapel Hill
324228,Michael S. Shur,
329385,Georgios B. Giannakis,University of Minnesota
330601,John D. Roberts,
334680,Paulo Sergio Almeida,Universidade do Minho
339086,Wynne Hsu,National University of Singapore
339923,Yu Wang,Tsinghua University China
342608,Gianaurelio Cuniberti,Dresden University of Technology
345123,Elhanan Helpman,Harvard University
347070,Stefan A. Burr,
353361,Heng Zhang,Tsinghua University China
356860,Geoffrey D. Sullivan,University of Reading
357397,Serguei V. Grigoriev,
361256,Weisi Lin,
364994,Hassan Gomaa,George Mason University
368674,Riccardo Migliari,Università degli Studi di Roma La Sapienza
369579,Jean-Francois P. Labourdette,
373182,Dieter Fox,University of Washington
374624,George W. Hart,
376171,Arthur W. Toga,
378997,Donald Mackay,Trent University
380098,Philip Z. Maymin,
380866,Fabricia Roos-frantz,Universidad de Sevilla
384587,Jose Maria Perez Menor,Universidad Carlos III de Madrid
386932,Jeroen J. Bax,
387779,Jared M. Diamond,University of California Los Angeles
389680,Joachim Hammer,University of Florida
397352,Oliver E. Williamson,University of California Berkeley
397402,Farid N. Najm,
398539,Jakob J. van Zyl,
399888,Fumio Ishizu,"Information Technology RD Center , Mitsubishi Electric Corporation,"
402072,Harold Vincent Poor,Princeton University
411989,Nitash P. Balsara,University of California Berkeley
412519,Philip G. Altbach,
415039,Vladimir N. Uversky,University of South Florida
415716,Jean-Claude Baron,University of Cambridge
418524,Annie S. Wu,
421634,Kanak B. Agarwal,
422411,Ronald Greeley,
424032,Anastasia Chopelas,
425119,Wolf-fritz Riekert,
425402,Li-San Wang,University of Pennsylvania
425837,Hoon Pyo Hong,
428026,Yinhai Wang,University of Washington
429405,Steven W. Squyres,Cornell University
430259,David M. Haight,
430807,John Hoddinott,Dalhousie University
433925,M. Lukaszewicz,
433946,R. Jayakumar,Amrita University
435547,Susumu Horiguchi,Japan Advanced Institute of Science & Technology
436622,Joseph H. Silverman,
440982,Gerard Salton,
442262,Glenn Ellison,
443157,Gilles Pokam,Intel Corporation
444280,Wolfgang Schroder-preikschat,
445181,Peter H. Beckman,Argonne National Laboratory
445400,Andrew C. Singer,
450234,Naoyuki Takahata,
451453,Ian Cross,University of Cambridge
451736,Richard A. Mathies,University of California Berkeley
451794,Rama Chellappa,University of Maryland
452013,Hiroshi Kawakami,"Department of Systems Science ,Graduate School of Informatics ,Kyoto University"
453839,Mary Jane Irwin,Pennsylvania State University
455925,James Nugent Bellinger,
460534,Marc K. Hellerstein,
460623,Michel C. Desmarais,École Polytechnique de Montreal
465705,Dante Gatteschi,Università degli Studi di Firenze
468683,António Teixeira,"DETI/IEETA, University of Aveiro"
469309,Jian-Hua Yin,Hong Kong Polytechnic University
470632,Christopher T. Russell,
474358,William H. Schmidt,Academia Sinica
475589,M. M. Lehman,Imperial College London
476560,Lawrence A. Crum,University of Washington
476926,Fabian Luis Vargas,Pontificia Universidade Católica do Rio Grande do Sul
482237,Roderich Brandsch,
484044,M. Frans Kaashoek,Massachusetts Institute of Technology
487134,Hideaki Takeda,National Institute of Informatics
488805,Ivan Laptev,Institut de Recherche en Informatique et Systèmes Aléatoires
489015,James D. Wynn,
492188,Henning Braunisch,
492932,Jia-Mo Fu,Chinese Academy of Sciences
495164,Dale P. Sandler,National Institutes of Health
498808,Simon J. Teatb,
501023,Zhuanghua Shi,"Ludwig-Maximilians-Universitaet, Munich"
502254,Helene Fargier,UMR5505 Institut de Recherche en Informatique de Toulouse
504186,Gang Xu,Hangzhou Dianzi University
511815,Finn Arup Nielsen,
512326,Jozsef Vass,
516889,Dumitru Mihalache,
520400,Robert A. Preston,
521630,Ayman Kaheel,Microsoft Innovation Lab in Cairo
528576,Susan A. Mengel,
530264,S. Segler,
534894,Michael S. Jacobson,University of Colorado Denver
544516,Weng Cho Chew,University of Hong Kong
545950,Alphons G. J. Voragen,Wageningen University & Research Centre
546997,Jamie K Bartram,The Water Institute at UNC
549159,Neil Blumberg,
549263,Yufeng Liu,The University of North Carolina at Chapel Hill
549921,Jozsef Bokor,Hungarian Academy of Sciences
550791,Alan Borning,
556363,Jens Stoye,
556883,Jane L. Liesveld,University of Rochester
559654,John P. John,University of Washington
561737,Rene Mandiau,
566950,Robert D. Lorenz,University of Wisconsin Madison
569486,Florent De Dinechin,
569584,Hans Jurgen Schneider,University of Wisconsin Madison
570492,Armand M. Kuris,
571285,Masahiro Asaka,
572045,George K. Parks,
572324,Amy K. Schmid,Duke University
573376,Dirk P. Bohmann,University of Rochester
585480,Ramnik J. Xavier,Harvard University
586553,Gabriel M. Rebeiz,
588087,Santiago Escobar,
588803,Josep M. Comeron,University of Iowa
591685,Robert J. K. Jacob,
592054,Willy Susilo,University of Wollongong
594734,Song Chen,Waseda University
595990,Christopher Peacocke,Columbia University
597011,D. Louis Collins,McGill University
597894,Xiao-Ping Li,Southeast University China
598892,Sanjay Ghemawat,Google Inc.
600818,Stephen C. Winans,Cornell University
602449,José Meseguer,University of Illinois Urbana Champaign
604798,Shalom Tsur,
606803,Onno Boxma,Eindhoven University of Technology
607470,Sara Jo Nixon,University of Florida
608835,Chris H. Q. Ding,University of Texas Arlington
609717,William Olaf Hancock,Pennsylvania State University
609769,Toshitsugu Yuba,University of Electro-Communications
614616,Matt Uyttendaele,Microsoft Research
615787,Ioan Raicu,Illinois Institute of Technology
615942,Luc Vandendorpe,Université Catholique de Louvain
616967,Th. W. de Loos,
618219,Bradley E. Bishop,
619431,Andreas Speck,
626402,Zabih F. Ghassemlooy,
627950,Andrew Cain,Swinburne University of Technology
629475,Themis Matsoukas,
630502,Andrew C. Long,
632091,Ruiping Wang,Chinese Academy of Sciences
636159,George F. Loewenstein,Carnegie Mellon University
637298,Kam W. Leong,Duke University
638958,Karsten Schwan,Georgia Institute of Technology
641638,Chris Lesniewski-Laas,
641861,Jin Au Kong Kong,
642613,Patrick Baudisch,Universität Potsdam
646898,Ramesh Jain,University of California Irvine
647791,Alexandre Yakovlev,Newcastle University
648890,Yao-xue Zhang,
650837,Christophe Pallier,Centre National de la Recherche Scientifique
654853,Ying Liu,University of Texas Dallas
656024,Michael Haupt,University of Potsdam
657276,Rishad A Shafik,University of Bristol
659002,M. Frederick Hawthorne,University of California Los Angeles
661721,Robert J. LaLonde,University of Chicago
663086,Vijayan Sugumaran,
664772,Christopher J. Lee,University of California Los Angeles
668162,Yi Lin,University of Wisconsin Madison
668163,Jafar Habibi,
669370,H. Eugene Stanley,Boston University
669963,D. Stott Parker,
673218,Andreas Richter,University of Bremen
673595,Xian-he Sun,Illinois Institute of Technology
676014,James M. Poterba,
680845,Mladen A. Vouk,North Carolina State University
682709,Chung-chieh Lee,Northwestern University
685423,Jae Hwan Lee,Soongsil University
690128,Gordon I. Mccalla,
693618,Paul W. Burgess,University College London
695262,Nico M. M. Nibbering,
699619,Hermann Ney,Rheinisch Westfalische Technische Hochschule Aachen
701356,Thies Pfeiffer,"Artificial Intelligence Group, Faculty of Technology, Bielefeld University"
702837,Pascal Touzet,
706809,Michael P. Muehlenbein,
707011,Baowei Fei,Emory University and Georgia Institute of Technology
707103,David Neumark,University of California Irvine
707433,Praveen Kumar,University of Illinois Urbana Champaign
710020,Yehia Massoud,Rice University
710045,Arthur Lewbel,
712611,Yong Hu,The University of Hong Kong
716496,Alexander Kister,"Department of Mathematics|Rutgers University , New Brunswick"
717611,David Kotz,Dartmouth College
719657,Anirban DasGupta,
720275,Jonathan W. Martin,University of Alberta
720735,Philippe Gaussier,
720773,Christian Urban,King's College London
720972,Koji Tsukada,Japan Science & Technology Agency
723849,Evgenia Georgieva,
725799,Zebo Peng,Linköping University
728343,Leon McCaughan,University of Wisconsin Madison
729762,Geoffrey M. Voelker,
730545,Makoto Takizawa,
734850,Yao Liu,North Carolina State University
749656,Witold Litwin,Université Paris 9 Dauphine
752418,Hyun-chul Park,University of California Santa Barbara
754703,Anthony M. Bloch,
755655,Michael L. Klein,
755943,Chao Huang,Microsoft
757553,Peter Brugger,UniversitätsSpital Zürich
758412,Larry Kerschberg,
758442,Kathleen J. Sikkema,Duke University
758915,G. R. Stewart,University of Florida
759104,Toshihisa Tanaka,
762390,Jason J. Ford,Queensland University of Technology
763439,Jacek F. Gieras,University of Technology and Life Sciences Bydgoszcz
766010,Jere Behrman,
767484,Michael S. Hsiao,Virginia Polytechnic Institute and State University
770272,Teruo Higashino,Osaka University
770877,Braj Bhushan Lohray,Zydus Research Centre
771075,Nicholas A. Peppas,University of Texas Austin
774594,John Dewey,Columbia University
776119,Carl E. Walsh,
780824,Martin Kreitman,
781820,Jean-pierre Jouannaud,École Polytechnique (France)
782544,Maha Ashour-Abdalla,
785493,Bo Egardt,
794680,Martine Cador,
797364,Andrew K. Rose,University of California Berkeley
798890,Burkhard Fricke,University of Kassel
801767,Nikos C. Kyrpides,Lawrence Berkeley National Laboratory
805816,Richard J. Davidson,University of Wisconsin Madison
817594,Zoran Duric,
819579,Andrew B. Bernard,Dartmouth College
824462,Andreas Radbruch,Humboldt University of Berlin
830364,Egon Börger,Università di Pisa
836057,Jan Rotmans,Erasmus University of Rotterdam
838769,George Z. Voyiadjis,
839926,Serkan Hosten,
840051,Ulrich Friedrich Schafer,
840964,Koreaki Ito,Kyoto University
842179,Cheryl F. Dreyfus,
843064,Fang Yu,"Researcher, Microsoft Research Silicon Valley"
849906,WANG Yu,
852433,Jung-Tsung Shen,Washington University in St. Louis
855094,Aziz Sheikh,University of Edinburgh
857360,Denis Riviere,Commissariat a l'Ënergie Atomique
858010,Robert H. Topel,University of Chicago
858080,Oliver B. Linton,
858711,Fred J. Taylor,University of Florida
860972,Stephen Weiner,Weizmann Institute of Science
862156,Ezequiel Echer,Instituto Nacional de Pesquisas Espaciais
862203,Thomas Hofmann,Google
864224,Polina Bayvel,University College London
865198,David J. Brady,Duke University
866801,Adalberto Lafcadio Simeone,Lancaster University
867547,Ron Kikinis,Harvard University
871526,Bruce E. Koel,
874282,Arnaud Fontaine,UMR8022 Laboratoire d'Informatique Fondamentale de Lille
874341,Larry Huston,
874538,Eileen T Kraemer,University of Georgia
877023,Yves-Alain Barde,
879819,Evangelos Sakkopoulos,Research Academic Computer Technology Institute
881158,Michelle F. Thomsen,
883788,Weiwei Chen,University of California Irvine
885389,Nelson Jorge Schuch,
885661,Lester F. Eastman,
887019,Joe E. Bell,
887606,Philip Schniter,Ohio State University
888289,John P. Perdew,Tulane University
894232,Gerhard Klimeck,Purdue University
900108,Jerry L. Prince,Johns Hopkins University
900499,Alex Kondratyev,
901574,Desney S. Tan,Microsoft
902777,Mark Winey,
904035,William Aspray,University of Texas Austin
906215,Steven Chu,Lawrence Berkeley National Laboratory
907793,Tilo Grosser,
909612,David Parker,University of Birmingham
912081,Christophe Diot,
914052,Conor Ryan,
914124,Thomas J. Moore,
918324,Narayanan Vijaykrishnan,Pennsylvania State University
919795,Isaac T. S. Li,University of Toronto
922994,Tin Kam Ho,
923312,Liling Sun,
924675,Brian Leung,McGill University
925130,Peter B. Littlewood,
928314,Franz Sotz,
931086,Daniele Bertaccini,
932902,Ashok V. Krishnamoorthy,University of California San Diego
933127,David J. McComas,
933157,John P. Burrows,
935115,Rob A. Rutenbar,University of Illinois Urbana Champaign
935517,Jinglu Hu,Waseda University
935685,Piero Fariselli,Università di Bologna
936221,Andreas Krause,Swiss Federal Institute of Technology Zurich
936312,Zhiyi Wei,Chinese Academy of Sciences
936854,Christopher M. Dobson,University of Cambridge
937129,Jonathan Richard Ellis,
938110,Daniel S. Gruner,University of Maryland
940958,Benoit Martin,Lorraine University – Metz
943361,Stefan Savage,University of California San Diego
944217,David V. Boger,University of Florida
944851,MARK R. HOROWITZ,
945576,Carlo S. Regazzoni,Università degli Studi di Genova
945785,Keir Fraser,University of Cambridge
946362,Tilo Grosser,University of Pennsylvania
949081,Paul K. Townsend,University of Cambridge
951709,George W. Mulholland,University of Maryland
952028,Luciano Lavagno,Politecnico di Torino
953640,Jano Moreira de Souza,Universidade Federal do Rio de Janeiro
954373,Lars W. Liebmann,
956088,Daniel N. Baker,University of Colorado Boulder
960042,M. Zubair Rafique,Center of Excellence in Information Assurance
961232,Timo Terasvirta,
967993,Kati Viikki,
974569,Rida T. Farouki,
978474,M. Brian Blake,
978496,Daniel Kahneman,Princeton University
979748,A. G. Unil Perera,
980279,Martin C. Richardson,
982028,Hongjie Dai,Stanford University
983356,Ioannis Tollis,University of Crete
987580,Graciela Chichilnisky,Columbia University
987703,Richard Hughes-Jones,
988989,Gerald L. Thompson,Carnegie Mellon University
994635,Bernd Mohr,Forschungszentrum Jülich
995318,Kyriacos Costa Nicolaou,Scripps Research Institute
999217,Donald J. Wuebbles,University of Illinois Urbana Champaign
1001209,David C. Torney,
1001741,Thomas Brox,University of Fribourg
1002327,Gerbrand Ceder,Massachusetts Institute of Technology
1003007,Claudio Grimaldi,École Polytechnique Fédérale de Lausanne
1009395,John A. Hardy,
1013299,Chong Lu,Hong Kong Polytechnic University
1017968,Donald A. Gurnett,University of Iowa
1018106,Frederic Blanqui,The French National Institute for Research in Computer Science and Control
1018738,Li Chen,Hong Kong Baptist University
1020050,Klaus F. Zimmermann,University of Bonn
1020814,Amnon Yariv,California Institute of Technology
1025151,Paul Knochel,
1028274,Christopher Boey Chiong Meng,University of Malaya
1028745,Pavol Cerny,Institute of Science and Technology Austria
1029323,RUEDI AEBERSOLD,Swiss Federal Institute of Technology ETH Zürich
1031302,James W. Davis,Ohio State University
1034341,Bruce E. Koel,
1035474,David J. McArthur,
1035544,Shalabh Bhatnagar,
1037194,Xinghuo Yu,"RMIT University, Melbourne, Australia"
1040716,Jeanette M. Bennett,University of North Carolina Charlotte
1043534,William M. Lively,
1052364,Praveen Kumar,
1053484,E. Focardi,
1054188,Fred Hoyle,University of Cambridge
1056198,Sandi Klavzar,
1057720,Ronald V. Book,Boston College and Harvard University
1059169,Zhenjiang Hu,"National Institute of Informatics, Japan"
1060323,Steve A. Kay,University of Southern California
1062835,Stamatis Karnouskos,SAP
1063004,Robert P.W. Duin,Delft University of Technology
1065053,Peter John Burke,
1063290,Niels Provos,
1067059,Hans Wolf-Watz,
1068003,Nicola Bacchetta,
1068318,Michael J. Ward,
1082210,ANDREW U. FRANK,Vienna University of Technology
1082964,Barry Eichengreen,University of California Berkeley
1084137,John H. Rust,University of Cambridge
1086056,Simon Holland,Open University UK
1086332,Thomas J. R. Hughes,University of Texas Austin
1086346,Alexander Egyed,Johannes Kepler Universität Linz
1086655,Qing Wu,
1088317,Michael Kwok-po Ng,Hong Kong Baptist University
1089942,David K. Wehe,
1100532,Manfred Glesner,Technische Universität Darmstadt
1100763,Lars Peter Hansen,University of Chicago
1101859,Boonserm Kijsirikul,Department of Computer Engineer - ing|Chulalongkorn University
1102257,Kazuo Iwama,Kyoto University
1103758,Yi Mu,
1109666,Iyad Abu Doush,
1109689,Paolo Faraboschi,HP Labs
1110214,Alessandro De Luca,Università degli Studi di Napoli Federico II
1111366,Lee Gehrke,
1111538,William R. Swartout,
1113428,Donald F. Towsley,University of Massachusetts-Amherst
1114439,Michael Karin,University of California San Diego
1115538,Jeannie T. Lee,Harvard University
1119005,Yong Xia,University of Sydney
1119317,Kolja Sulimma,
1122750,Wei Li,Beihang University (Beijing University of Aeronautics and Astronautics)
1123190,Mohammad Amin Shokrollahi,École Polytechnique Fédérale de Lausanne
1132143,George K. Parks,
1132891,Ian C. Robertson,Boise State University
1139820,Pushpendra Singh,Indraprastha Institute of Information Technology
1139852,Yoshito Kumagai,University of Tsukuba
1140336,Yasin Y. Dhaher,Northwestern University
1141644,Richard W. Ziolkowski,University of Arizona
1141660,Kenneth H. Britten,University of California Davis
1143293,Robert Sugden,University of East Anglia
1144728,Ibrahim N. Hajj,
1145825,David Card,University of California Berkeley
1146012,Andreas Schmidt-Ott,Delft University of Technology
1147969,Peter D. Lawrence,
1149064,Shmuel Zamir,
1152862,Abdelhak M. Zoubir,
1154471,Vaclav Skala,"University of West Bohemia, Plzen & VSB-Technival University, Ostrava, Czech Republic"
1157873,Yong Zhang,National University of Singapore
1158073,S. K. Michael Wong,
1158517,Richard Dronskowski,
1160728,Arnaud Revel,
1161546,Dario Bisello,
1163584,David M. Smith,West Virginia University
1164430,Christian Blum,University of Twente
1165113,Timothy E. Lindquist,"Department of Engineering, Arizona State University"
1170024,Stephen R. Forrest,
1169781,Wolfgang J. Paul,Universität des Saarlandes
1172097,Miguel A. Patricio,Universidad Carlos III de Madrid
1175652,Daniel Z. Freedman,Massachusetts Institute of Technology
1176739,David S. Wise,Indiana University
1177866,C. Jill Harrison,University of Cambridge
1178965,Robert M. Wald,University of Chicago
1179583,Jean-Pierre Hubaux,École Polytechnique Fédérale de Lausanne
1181088,Byonghyo Shim,Korea University
1182044,I. R. Tomalin,
1183372,Avi Wigderson,Institute for Advanced Study
1185539,Woon-Seng Gan,Nanyang Technological University
1185552,Roberto Tamassia,Brown University
1186885,Ibrahim Kamel,
1189225,Thomas Thuem,"University of Magdeburg, Germany"
1195718,John C. Kieffer,University of Minnesota
1200030,David J. Richardson,
1201378,Byeng Dong Youn,Seoul National University
1201750,Karen Linn Bierman,Pennsylvania State University
1204932,Drew Steedly,
1207340,Stelios Kotsios,"National and Kapodistrian University of Athens, Greece"
1208081,Jesus Carretero,
1209871,John Campbell,Harvard University
1209919,Mauro Olivieri,
1210256,Hai-Quan Mao,Johns Hopkins University
1212728,Joachim Rudolph,Saarland University
1213943,Tomas Hokfelt,
1214663,Timothy D. Mount,
1215510,Bing Xie,
1218840,Algirdas Avizienis,University of California Los Angeles
1219647,Sven Van Den Berghe,Centre d'Etude de l'Energie Nucleaire
1220706,Gerard P. Cornuejols,Carnegie Mellon University
1222066,David M. Cutler,
1229247,Charles Kahn,Department of Finance|University of Illinois at Urbana-Champaign
1236801,Tim Harris,Microsoft
1240002,Umesh K. Mishra,University of California Santa Barbara
1241350,John Gregg Lewis,
1242642,Robert Glaser,Wadsworth Center
1242769,C. G. M. Brum,Arecibo Observatory
1245191,Jim Gray,Microsoft Research
1247609,Yuri S. Kivshar,Australian National University
1258125,Andrei S. Rapinchuk,
1262370,Yoshikiyo Kato,National Institute of Information and Communications
1263017,Jerome Lang,Université Paris 9 Dauphine
1266219,Charles C. Brown,University of Michigan
1267374,James M. Keller,
1269517,Marc Eliot Davis,Invention Arts
1271732,Dubravko I. Babic,
1273711,Stephen J. Lippard,Massachusetts Institute of Technology
1277437,Hwai-Jong Cheng,University of California Davis
1277995,Gen Hua Yue,"Temasek Life Sciences Laboratory, National University of Singapore"
1279202,Robert H. Perry,
1280260,Everald E. Mills,Seattle University
1280287,Norbert Wehn,Technical University of Kaiserslautern
1282694,Russell C. Muchow,
1283895,Naohiro Ishii,
1285890,Ezequiel Echer,Instituto Nacional de Pesquisas Espaciais
1287869,Xiaotao Wu,Avaya
1288714,William J. Evans,Lawrence Livermore National Laboratory
1291033,Julin N. Maloof,University of California Davis
1291174,John L. Volakis,
1294297,Luca Giannessi,
1295742,Marek Karpinski,Rheinische Friedrich Wilhelms Universität Bonn
1295930,Dirk Janssens,
1296586,Robin Wilson,
1297756,Marc Badia-Miro,Universitat de Barcelona
1298998,Joan M. Ogden,University of California Davis
1299184,Isaac L. Chuang,Massachusetts Institute of Technology
1301014,Norbert Wiener,Massachusetts Institute of Technology
1302583,Uday B. Pal,Boston University
1303165,Wendell A. Lim,University of California San Francisco
1303266,Jeong Min Lee,Seoul National University
1304140,Asher Wolinsky,Northwestern University
1310642,Oded Schramm,Microsoft
1311217,Tomas Hokfelt,Karolinska Institute
1311754,Kave Salamatian,University of Savoy
1313052,Sumit Ganguly,
1314331,Richard E. Dickerson,University of California Los Angeles
1317226,Thomas R. Shrout,Pennsylvania State University
1318151,Gul N. Khan,Ryerson University
1320583,Roger Craig,University of Massachusetts Medical School
1323367,Joseph A. Shaw,Montana State University
1325068,Tapan Kumar Sarkar,
1327336,Robert Costanza,Australian National University
1331267,Yi-Zeng Liang,
1332804,Pradeep K. Atrey,
1335327,Robert L. Byer,Stanford University
1338078,Matthew Reid,
1338158,Masahiro Hamasaki,
1338288,Simon Harper,University of Manchester
1341104,Brian David Fisher,Simon Fraser University
1341819,Christian Bird,Microsoft
1343239,Hans-Peter Klenk,Technische Universität Darmstadt
1344239,Mario Gerla,
1344532,Liangliang Cao,IBM T. J. Watson Research Center
1345073,Herman Lam,University of Florida
1346505,Didier Maquin,
1350095,Henry T. Lynch,
1350171,Ronald P. Lepping,
1351471,Thomas Kistler,
1354543,John P. Burrows,Universität Bremen
1355216,Eric Michielssen,
1355997,Dorian Goldfeld,Columbia University
1356581,Jerry J. Warsh,University of Toronto
1359718,Frank Van Lingen,
1359991,Hao Yu,Nanyang Technological University
1365751,Fernando Pardo-Manuel de Villena,University of North Carolina Chapel Hill
1366386,Luis Manuel Borges Gouveia,Universidade Fernando Pessoa
1366418,Xiaokang Yang,
1369071,David Mumford,Brown University
1369861,Diana. Laurillard,Institute of Education University of London
1374545,Richard Szeliski,Microsoft
