Id,Title,Year,ConferenceId,JournalId,Keyword
35243,Process modification for coating SnO 2:F on stainless steels for PEM fuel cell bipolar plates,2008,0,5588,Bipolar plate; Stainless steels; Ferrite; Tin oxide; PEMFC
35533,Rainbow Nets for System Analysis,1989,0,0,
35676,A new expression for radial distribution function and infinite shear modulus of Lennard-Jones fluids,2006,0,1957,Infinite shear modulus; Lennard-Jones potential; Molecular dynamic simulation; Radial distribution function
35976,Optimal Reconfiguration of Spacecraft Formations Using the Gauss Pseudospectral Method,2008,0,5540,
36030,Transient Behaviors of TCP-friendly Congestion Control Protocols,2001,69,0,
36444,Quantum Monte Carlo studies of solvated systems,2011,0,0,
36602,Maternal Smoking during Pregnancy and Newborn Neurobehavior: Effects at 10 to 27 Days,2009,0,3693,
37020,,1990,0,1880,
37512,Network-Aware Parallel Computing with Remos,1998,132,0,
37615,A Bootstrapping Approach to Named Entity Classification Using Successive Learners,2003,260,0,
38639,A novel statistical chinese language model and its application in pinyin-to-character conversion,2008,572,0,chinese language model|pinyin-to-character conversion|word-context support
40784,The Distributed Annotation System,2001,0,804,
40969,Interleukin-1β regulates CFTR expression in human intestinal T84 cells,2000,0,2685,Interleukin-1β; CFTR; Cystic fibrosis
41920,Handbook of Geographic Information Science,2004,0,0,
42068,How is stimulus processing of the lateral geniculate nucleus derived from its input(s)?,2009,0,7894,
42251,Spatiotemporal traffic-flow dependency and short-term traffic forecasting,2008,0,10457,
42512,A massively parallel adaptive finite element method with dynamic load balancing,1993,338,0,
44721,A Descriptive Analysis of Populations of Three-Dimemsional Structures Calculated from Primary Sequences of Proteins by Osiris,1998,0,390,
45566,Does Trust Influence Information Similarity?,0,0,0,"Keywords User Similarity, Trust, Human Network"
45788,Cellular Strings on Polytopes,1994,0,7345,
45916,Introduction of Computer Aided Design in an Educational System,1977,57,0,
46615,13 O 04 Implementation of a Scanning Mobility Particle Sizer (SMPS),1993,0,2082,
46839,On the Complexity of Deciding Sense of Direction,1995,375,0,
47423,Hardware Support for Hiding Cache Latency,1993,0,0,
47822,Selective and Divided Attention: Extracting Information from Simultaneous Sound Sources,2004,2037,0,
47932,Macroscopic analysis of design processes based on a scheme for coding designers' cognitive actions,1998,0,5197,design processes; design cognition; protocol analysis
48124,SELF-CONSISTENT MODEL FOR THE BEAMS IN ACCELERATORS,1998,0,0,
48213,Reaction path Hamiltonian: Tunneling effects in the unimolecular isomerization HNC↠HCN,1980,0,0,
48693,A BEM-BDF Scheme for Curvature Driven Moving Stokes Flows,1995,0,8451,Instituut voor Agrotechnologisch onderzoek
49554,Results on Nonlocal Boundary Value Problems,2010,0,7332,
51420,Semiharmonic graphs with fixed cyclomatic number,2004,0,794,"Keywords: Harmonic graphs, semiharmonic graphs, almost semiregular graphs, cyclomatic number"
52319,Enhanced-performance control of a DC-DC Z-Source converter,2009,3626,0,
52412,Measurement and analysis of evapotranspiration and surface conductance of a wheat canopy,2002,0,6046,KEY WORDS evapotranspiration; canopy conductance; stomatal conductance; extractable soil water content; BREB; winter wheat
52590,Adaptive Information Presentation for Spoken Dialogue Systems: Evaluation with human subjects,0,0,0,
52933,The Imposition of Protocols Over Open Distributed Systems,1991,0,27,
53553,Optical Properties of AgI Quantum Dots Embedded in a Glass Matrix,1998,0,8576,
54858,New Evidence on the Causes of Slave and Crew Mortality in the Atlantic Slave Trade,1986,0,4854,
55270,Making Ubiquitous Computing Visible,0,0,0,
55356,Experiments in Robust Bistatic Sonar Object Classification for Local Environment Mapping,2001,38,0,
55481,"Blogs, Wikis und Podcasts im Unterricht",2008,0,13217,
55568,Analyzing Program Behavior of SPECint2000 Benchmark Suite using Principal Components Analysis,2003,0,0,
55801,A Proactive Threshold Secret Sharing Scheme Handling Gen2 Privacy Threats,2009,0,0,
56016,Altered heel-pad mechanical properties in patients with Type 2 diabetes mellitus,2000,0,3054,
56110,Application of the Kalman-Levy filter for tracking maneuvering targets,2004,0,0,
56490,A visibility control system for collaborative digital table,2009,0,420,Keywords Display system Public display CSCW Entertainment
56684,A semantic model of types for applicative languages,1982,137,0,
57327,Nucleosynthesis bounds on a time-varying cosmological ‘constant’,1997,0,11652,26.35; 98.80.Cq; 98.80.Ft
57547,FanLens: Dynamic Hierarchical Exploration of Tabular Data,0,0,0,"Keywords: Tabular data visualization, dynamic hierarchy specifi- cation, radial space-filling visualization, fisheye distortion."
58468,Valences: A new Relationship Concept for the Entity-Relationship Model,1989,195,0,
59145,Searching for signatures of supersymmetry at B-factories,1995,0,8528,Particle Physics - Phenomenology
59174,A spiking neuron model of head-direction cells for robot orientation,2004,2261,0,
59398,Interactive Query for Image Contents by Semantic Cases and Multi-Agent,1998,53,0,
59461,Sufficient Conditions for Absolute Minimum of the Maximal Functional in the Multi-Criterial Problem of Optimal Control,1974,1159,0,
60620,Formation of prostamides from anandamide in FAAH knockout mice analyzed by HPLC with tandem mass spectrometry,2004,0,1684,Supplementary key words anandamidecyclooxygenase-2 • fatty acid amide hydrolasehigh-performance liquid chromatographyPGD 2
61754,,1999,0,919,
62127,Information Content Characterizations of Complexity Theoretic Properties,1979,414,0,
63071,Relativistic effects on ground state properties of 4d and 5d transition metals,1990,0,8492,
63413,,2006,0,2713,
63669,Hypoxia-Induced Mediators of Stem/Progenitor Cell Trafficking Are Increased in Children With Hemangioma,2010,0,0,Key Words: hemangioma hypoxia vasculogenesis endothelial progenitor cells chemokines
64027,,2004,0,6509,Otodus obliquus; Centra; Mineralization; Diagenesis; Isotopes; δ18O; Eocene; Ypresian; Morocco
64063,An asymptotic allocation for simultaneous simulation experiments,1999,520,0,
64740,Angioendotheliomatosis of the central nervous system,1974,0,7868,Key words: Angioendotheliomatosis -- Vascular Endothelium -- Neoplastic Growth -- Inflammatory Reaction.
65747,Learning by Analogy in Genetic Classifier Systems,1989,1091,0,
65765,System design of a telecommunication router,2001,1242,0,
66079,ON THE MODULI SPACES OF EMBEDDED CONSTANT MEAN CURVATURE SURFACES WITH THREE OR FOUR ENDS,0,0,0,
66400,"Autonomous Bayesian Search and Tracking, and its Experimental Validation",2012,0,788,"SEARCH,TRACKING,BAYESIAN,COORDINATION,COOPERATION"
66807,Competition for Attention,1997,255,0,
67077,A practical incremental relaying scheme with imperfect feedback for wireless networks,2012,3059,0,"Relays,Signal to noise ratio,Equations,Wireless networks,Educational institutions,Energy consumption,Channel state information,,"
67164,Intégration de Monte-Carlo,0,0,0,
67350,Light propagation in a nonlinear plasmonic nanowire,2005,4803,0,
67870,NAER FIELD IMAGING OF SYNTHETIC APERTURE RADIOMETER,0,0,0,
68263,"SUPERCONDUCTIVITY IN ""NORMAL"" METALS",1963,0,14020,"PHYSICS BCS THEORY, FILMS, METALS, SUPERCONDUCTIVITY, TEMPERATURE, THICKNESS"
68595,Mental Poker Revisited,2003,1182,0,
68682,Statistical analysis of large on-chip power grid networks by variational reduction scheme,2010,0,384,Statistical; Power grid analysis; Model order reduction; Truncated balanced realization
68774,"Planetary wave oscillations in mesospheric winds, equatorial evening prereversal electric field and spread F",2006,0,6357,
68894,The Sources of Growth,1994,0,0,
69938,Indistinguishability of Percolation Clusters,1998,0,0,"Mathematics - Probability, Mathematical Physics, 82B43, 60B99 (Primary), 60K35, 60D05 (Secondary)"
70860,9 Reduced Order Filtering for Flexible Space Structures,0,0,0,
70989,Cultural and Institutional Bifurcation: China and Europe Compared,2010,0,0,"China,city,cooperation,culture,value"
71075,Interactive Drama Authoring with Plot and Character: An Intelligent System that Fosters Creativity,0,0,0,
71263,A User Behavior-Based Agent for Improving Web Usage,2002,596,0,
71824,Model-Independent Second-Order Determination of the Strong-Coupling Constant alphas,1983,0,8570,
71990,The Hough Transform's Implicit Bayesian Foundation,2007,3996,0,"IndexTerms— Imageprocessing, Machinevision, Houghtrans- forms, Bayes procedures"
72078,Raman spectroscopy of gerhardtite at 298 and 77 K,2004,0,2181,
72480,International Convergence in Productivity Levels: Has Central Planning Mattered?,1992,0,0,
72774,,1996,0,5707,
73030,Closed-form blind channel identification with MSK inputs,1998,4998,0,
73288,Discriminative pronounciation learning using phonetic decoder and minimum-classification-error criterion.,2009,2771,0,
73527,Anomalies: The Law of One Price in Financial Markets,2003,0,4859,
73935,Rank 2 intersection types for modules,2003,228,0,principal typings|separate compilation|type inference
73938,"Integrating subgrid connectivity properties of the micro-topography in distributed runoff models, at the interrill scale",2011,0,5546,Connectivity; Grid-scale modeling; Runoff; Upscaling; Depression storage; Surface detention
74555,"Computer Networks, 3rd Edition",1996,0,0,
75656,CORAL - A Database Programming Language,1990,626,0,
76502,CuTeX: a system for extracting data from text tables,2002,368,0,
76507,Experimentally optimal v in support vector regression for different noise models and parameter settings,2004,0,913,
76801,CITeR Selected Archival Publications,0,0,0,
77761,Self-organization in stochastic neural networks,1993,2133,0,
78304,,2011,0,6173,Modelling; Organic; GHG; Diffuse pollution; Farm scale; Energy use
78813,Dystonia gravidarum: A new entity?,2006,0,3914,
80688,Epidemiologic study of Holstein dairy cow performance and reproduction near a high‐voltage direct‐current powerline,1986,0,3752,
80887,Coherent Life Cycle of Intraseasonal Tropical Convection and Extratropical Circulation during El Nino and La Nina years,2005,0,0,"1620 Climate dynamics (3309), 3339 Ocean/atmosphere interactions (0312, 4504), 4522 El Nino, 4522 El NiA+/-o"
81276,ENERGY COST AND CARDIAC DEMANDS OF STEP AEROBICS IN MEN WITH CORONARY ARTERY DISEASE: ,1999,0,3875,
83936,Neuroblastoma with focal MYCN amplification and bone marrow infiltration: A staging and treatment dilemma,2002,0,3868,
84055,Correlation of Analytical and Experimental Hot Structure Vibration Results,0,0,0,
84544,The Shift X Parity Watch Algorithm for Raster Scan Displays,1985,0,18,
84626,Competition for FDI with vintage investment and agglomeration advantages,2009,0,4886,Dynamic tax competition; Vintage capital; Agglomeration; Foreign direct investment; Bidding for firms
84652,A Risk Allele for Nicotine Dependence in CHRNA5 Is a Protective Allele for Cocaine Dependence,2008,0,7892,Addiction; cocaine; genetics; nicotine dependence; nicotinic receptors; smoking; substance use disorders
84867,"Fixation could simplify, not complicate, the interpretation of retinal flow",2000,0,0,Keywords: Optic flow; Spatial representing; Moving observor
85823,Drinking without thinking: An implicit measure of alcohol motivation predicts failure to control alcohol use,2008,0,9552,Alcohol use; Automatic processes; Dyscontrol; Implicit association test; Self-regulation
85845,"NBER Macroconomics Annual 2010, Volume 25: Editorial in ""NBER Macroconomics Annual 2010, Volume 25""",2011,0,0,
85897,Erosion rates at the Mars Exploration Rover landing sites and long-term climate change on Mars,2006,0,15256,"erosion,erosion rates,weathering,environment,aqueous,surficial geology"
86180,Th17: An Effector CD4 T Cell Lineage with Regulatory T Cell Ties,2006,0,6638,
86697,The AP-1 site is required for basal expression but is not necessary for TPA-response of the human stromelysin gene,1991,0,188,
86748,Efficient Estimation of a Dynamic Error-Shock Model.,1978,0,0,
86845,,1996,736,0,
87925,Epistatic Interactions in Genetic Regulation of t-PA and PAI-1 Levels in a Ghanaian Population,2011,0,4130,
88745,in the Distribution of Neural Networks in a Wireless Sensor Network,0,0,0,
89603,Prevalence and predictors of ocular manifestations of RA: is there a need for routine screening?,2007,0,13287,
89623,Foliage Discrimination Using a Rotating Ladar,2003,38,0,
89635,Paternal age and birth defects: how strong is the association?,2006,0,3309,Key words: birth defects/maternal age/paternal age/risk
90389,,0,0,0,
90401,trans-3-Benzyl-4-hydroxy-7-chromanylbenzoic acid derivatives as antagonists of the leukotriene B 4 (LTB 4) receptor,1998,0,1907,
90507,Interactive Text Processing by Inexperienced (Hyper-) Readers,1990,659,0,
90639,The role of artificial intelligence technologies in the implementation of People-Finder knowledge management systems,2000,0,150,Knowledge management; Knowledge management systems; People-Finder systems
90730,On Executable Meta-Languages applied to Model Transformations,2005,0,0,
91094,Evaluating the Effects of SEUs Affecting the Configuration Memory of an SRAM-Based FPGA,2004,618,0,
92232,The paraphrase search assistant: terminological feedback for iterative information seeking,1999,368,0,data visualization|query reformulation|terminological feedback
93570,Numerical Parameter Identification in Non-isothermal Multiphase Multicomponent Flow through Porous Media,2002,0,0,
94196,Trends in the Use of Need-based and Non-need Financial Aid in American Colleges and Universities,0,0,0,
96421,Counting l-letter subwords in compositions,2006,0,271,"Keywords: Carlitz compositions, compositions, subwords, generating functions, Gaussian asymptotic"
96782,A Networking Identity Authentication Scheme Combining Fingerprint Coding and Identity Based Encryption,2007,1232,0,Identity authentication Fingerprint coding; Identity-based encryption; Information security
97175,Λ production and flow in Au+Au collisions at 11.5A GeV/c,2000,0,8567,
97291,En sortant du cinéma,1975,0,19155,
98815,A multichannel CSMA MAC protocol for multihop wireless networks,1999,3059,0,
99594,,1918,0,11654,
99914,Formal modelling of autonomous systems,1988,371,0,
99985,Transmission of video telephony images over wireless channels,1996,0,275,
100603,Relation of the incommensurate modulation structure and normal-state properties of the Ba-doped Bi2Sr2CuO6+delta system,1994,0,8566,
101246,Pumping and Pushdown Machines,1994,0,54,
101515,<i>Arabidopsis thaliana:</i> A New Test Species for Phytotoxic Bioassays,2005,0,6076,
101801,"""A la Burstall"" Intermittent Assertions Induction Principles for Proving Inevitable Ability Properties of Programs",1993,0,269,
102270,Circular dichroism and absorption spectroscopy with SAC-CI method,0,0,0,
102531,Learning by trial and error,2009,0,4754,Learning; Adaptive dynamics; Nash equilibrium; Bounded rationality
103450,,2011,0,7990,Keywords BDNFApoEHippocampusCognitive function
103613,Performance of vibro-acoustography in detecting microcalcifications in excised human breast tissue: a study of 74 tissue samples,2004,0,23,"Index Terms—Breast, mammography, microcalcification, ultra- sound, vibro-acoustography."
103904,p53 Pathways to Simulate the p53 Transcriptional Activity,0,0,0,"Keywords: biological pathway, Petri net, simulation, p53, transcriptional activity"
105835,Systematic reliability improvements on the GRAIL project,2010,0,0,
107163,Extensibility safety and performance in the SPIN operating system,1995,0,190,
107602,Rapid-response temperature control provides new defect screening opportunities,2001,101,0,
109521,Formal Analysis in Model Management: Exploiting the Power of CZT,2010,311,0,
110229,The Asymptotic Performance Ratio of an On-Line Algorithm for Uniform Parallel Machine Scheduling with Release Dates,2001,1206,0,
110234,Factors controlling the concentrations of gaseous H sub 2 O sub 2 and O sub 3 in the Los Angeles atmosphere during 1985-1987,1988,0,0,
110308,An Optimization-Based Integrated Controls-Structures Design Methodology for Flexible Space Structures,1993,0,0,
110378,Influence of the Parasitic Solar Array Capacitance in the Sequential Switching Shunt Series Regulator,2006,3727,0,
110933,Adjusting the effect of nonstationarity in cluster-based and TFCE inference,2011,0,407,
111421,Search for 10-TeV Gamma-Ray Emission from Some Northern Objects with the Tibet Air Shower Array,1993,0,0,
112484,Hybrid dc ac electron gun for fs-electron pulse generation,2007,0,8524,
113788,Morphological classification of corticogeniculate neurons in the macaque monkey Authors,2009,0,0,
116206,Three-dimensional motion capture protocol for seated operator in whole body vibration,2008,0,5428,Whole body vibration; Marker protocol; Seated positions
116433,FreeRank: implementing independent ranking service for multiplayer online games,2005,1398,0,"Keywords Multiplayer Online Games, Ranking Service, FreeRank"
116522,Scheduling Sport Tournaments using Constraint Logic Programming,1996,654,0,
117063,,2008,0,17706,
117426,Relativistic Flux Tube Model Calculation of the Isgur-Wise Function,1994,0,0,
117601,Software fault recovery for real-time signal processing on massively parallel computers,2001,230,0,
117961,"Self-reported stress and subsequent hospital admissions as a result of hypertension, varicose veins and haemorrhoids",2003,0,10955,
119468,Modeling of Human Dermal Absorption of Octamethylcyclotetrasiloxane (D4) and Decamethylcyclopentasiloxane (D5),2007,0,8322,Key Words: octamethylcyclotetrasiloxane (D4); decamethyl- cyclopentasiloxane (D5); dermal absorption; PBPK model.
119504,New code parameters from Reed-Solomon subfield codes,1996,0,433,
120037,Solidification paths and eutectic intermetallic phases in Mg–Al–Ca ternary alloys,2005,0,6702,Magnesium alloys; Laves phases; TEM; Liquidus projection
120363,Die virtuelle Community krebsgemeinschaft.de,2005,0,-1,
120654,Re-Engineering Letter-to-Sound Rules,2001,1390,0,
120750,Quantum molecular dynamics study of electron transport in an external field,1989,0,0,
120946,"The Database Design Process, Tutorial",1986,195,0,
121099,Interaction of DNA with the Klenow fragment of DNA polymerase I studied by time-resolved fluorescence spectroscopy,1991,0,1462,
121992,Detecting Moving Targets from Traffic Video Based on the Dynamic Background Model,0,0,0,Keywords: image processing;rough set weighted classification;transportation monitoring;dynamic background mode.
122269,Small changes in free energy assignments for unpaid bases do not affect predicted secondary structures in single stranded RNA,1982,0,188,
122892,The Future of Biomedical Content in Applied Optics,2010,0,8355,
123183,Mid-Infrared Spectral Properties of IR QSOs,2008,0,0,
123269,Parametric Study of Ultra-Wideband Dual Elliptically Tapered Antipodal Slot Antenna,2008,0,17772,
123292,Femtosecond fluorescence upconversion studies of chiral self assembled supramolecular in solution,2003,0,8528,
123404,Honeyd: A Virtual Honeypot Daemon (Extended Abstract),0,0,0,
124308,An Application of Adaptive Scheme to Fluid Level Control,1989,0,11332,
124315,"In SituPolymerization ofN,N-Dimethylacrylamide in Aerosol OT-Water: Modified Lamellar Structure and Multiphase Separation",2002,0,2218,
124392,Computer simulations of soot aggregation,1984,0,2121,
124871,Fluorescent antibody test for the serological diagnosis of trichinosis,1962,0,7461,
124974,Predicting the Density of Algae Communities using Local Regression Trees,1999,-1,0,"KEYWORDS: Regression trees, local modelling, hybrid methods, local regression trees."
125800,An implementation of the BGP Redistribution Communities (draft-bonaventure-bgp-redistribution-02) in Zebra,2002,0,0,
126289,"Study of I - (CO2)n, Br - (CO2)n, and I - (N2O)n clusters by anion photoelectron spectroscopy",1995,0,1957,
126500,"CSF MONOAMINE METABOLITES, EMOTION AND BEHAVIOR IN DEPRESSION: ",1984,0,7920,
126546,Effect of hydrogen bond cooperativity on the behavior of water,2010,0,919,
127355,In Situ Monitoring of Hydrogen Storage Alloy Negative Electrode during Charging by an Acoustic Emission Technique,2006,0,2020,
127624,Electronic crossover in the normal state of YBa2Cu4O8,1997,0,8566,"Electronic structure, Response to electromagnetic fields, Fluctuations, Y-based cuprates"
127721,Technikgestaltung für Anwendungen,1999,0,315,
128501,Multiscale Conditional Random Fields for Image Labeling,0,0,0,
128547,Infinite hierarchies of nonlocal symmetries of the Chen–Kontsevich–Schwarz type for the oriented associativity equations,2009,0,8483,
128724,A Digital Telephone Set for ISDN,1986,0,16,
128935,On-Line Location of Multiple Faults in LUT Based Reconfigurable Systems,2003,459,0,
129215,Recurrence rate for de novo 21q21q translocation Down syndrome: A study of 112 families,1984,0,7557,
129575,Reconstructing a History of Recombinations From a Set of Sequences,1998,0,318,Computational biology; Evolutionary trees; Edit distance; Recombination; Directed hypergraphs; Bottleneck optimality
131073,Use of marker pigments and functional groups for assessing the status of phytoplankton assemblages in lakes,2008,0,8890,Keywords HPLC.Pigments.CHEMTAX. Chemotaxonomy.Water Framework Directive. Phytoplankton.Functional groups.Lakes.Reservoirs
131870,"Static, dynamic and run-time modeling of compound classes",1996,0,215,
132181,Innervation of the basicranial muscle of <i>Latimeria chalumnae</i>,1991,0,8889,"Key words: Nervus abducens, Cranial segmentation, Extrinsic eye muscles, Pisces, Actinistia"
133157,Magazine Staff (Cont'd),2007,0,-1,
133335,,1966,0,5536,
133502,Simulating the adoption of fuel cell vehicles,2006,0,4866,"Diffusion process, Agent based modeling, Hydrogen economy, Alternative fuel vehicles, O33, D11, D21,"
133709,Remarks on quadratic rational maps,1992,0,0,
133933,,1998,0,6604,
134158,Optimal Coarsening of Unstructured Meshes,1999,0,90,
134394,Entwicklung eines Produktivitätsmodells zur Systematisierung von Lerndienstleistungen,2010,729,0,
134817,Topology Dependent Fair Access to a Shared Resource,1986,1076,0,
134962,"Metodologia para a modelagem de escrit�rios baseada no n�vel de
estrutura��o das atividades",1988,0,0,
135634,MMDB: Entrez's 3D structure database,1999,0,188,
136330,Switching frequency determination of a bidirectional AC–DC converter to improve both power factor and efficiency,2011,0,3813,Improvement of efficiency and power factor; Switching frequency determination; Bidirectional AC–DC converter
138132,Catastrophic extinction of Caribbean rudist bivalves at the Cretaceous-Tertiary boundary,2002,0,0,"Keywords: Jamaica, Maastrichtian, chemostratigraphy, 87 Sr/ 86 Sr, rudists, Cretaceous-Tertiary boundary."
138710,Variational capacitance modeling using orthogonal polynomial method,2008,1023,0,capacitance extraction|orthogonal decomposition|process variations|random variable reduction
139186,Distortion-bounded authentication techniques,2000,0,0,
139330,,2001,0,6653,
139371,Composing and Refining Dense Temporal Logic Specifications 1,1999,0,328,Keywords: Temporal Logic; Compositionality; Refinement
139754,Compositional gravity drainage 2: experimental measurements using an analog system,2007,0,2376,
139800,Improving Mass and Liquid Chromatography Based Identification of Proteins Using Bayesian Scoring,2005,0,7739,
140558,,2000,0,45,
140781,A cost minimization analysis of first-line treatment strategies for low-risk gestational trophoblastic neoplasia,2011,0,3250,
140813,MRBUG: A Competitive Multi-Robot Path Finding Algorithm,2007,38,0,
140884,"QoS Tradeoffs for Guidance, Navigation, and Control",0,0,0,
